,Name,Price,Image,Ratings,Links
0,"Infinix HOT 12 Play (Horizon Blue, 64 GB)","₹8,699",https://rukminim1.flixcart.com/image/312/312/l3dcl8w0/mobile/j/o/x/-original-imagehxy5hzshkdv.jpeg?q=70,4.3,https://www.flipkart.com/infinix-hot-12-play-horizon-blue-64-gb/p/itmd9c1091d0a662?pid=MOBGE2KYCFZA7BRB&lid=LSTMOBGE2KYCFZA7BRBUNTJVL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBGE2KYCFZA7BRB.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
1,"Infinix HOT 12 Play (Daylight Green, 64 GB)","₹8,699",https://rukminim1.flixcart.com/image/312/312/l3dcl8w0/mobile/c/q/t/-original-imageg2rjgezh6yf.jpeg?q=70,4.3,https://www.flipkart.com/infinix-hot-12-play-daylight-green-64-gb/p/itmd9c1091d0a662?pid=MOBGE2KY6JUTSNCP&lid=LSTMOBGE2KY6JUTSNCPGWOMYY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBGE2KY6JUTSNCP.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
2,"realme Narzo 50 (Speed Blue, 64 GB)","₹11,999",https://rukminim1.flixcart.com/image/312/312/l0bbonk0/shopsy-mobile/p/k/x/-original-imagc4qj5ejywxnv.jpeg?q=70,4.5,https://www.flipkart.com/realme-narzo-50-speed-blue-64-gb/p/itm9d47ef5d10145?pid=MOBGC2E72ZFW9HBY&lid=LSTMOBGC2E72ZFW9HBYP8MQ5X&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBGC2E72ZFW9HBY.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
3,"Redmi 9A Sport (Coral Green, 32 GB)","₹7,201",https://rukminim1.flixcart.com/image/312/312/ku5ufm80/mobile/s/i/q/sport-9a-redmi-original-imag7chxqqu7h5hs.jpeg?q=70,4.2,https://www.flipkart.com/redmi-9a-sport-coral-green-32-gb/p/itm53bc6ebfe147b?pid=MOBG7CHHZ2MUWAZ4&lid=LSTMOBG7CHHZ2MUWAZ4EUB6K2&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=en_VcJa8Dh%2B0J%2Bc8OHsHMq81pB0V%2FSUyW8huz0i8ve4DlkQStVskUQGSKFNyzi7%2FwnL7cOJz3bUm%2B9NU7Z2nO%2FZOg%3D%3D&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
4,"REDMI 10 (Pacific Blue, 64 GB)","₹9,999",https://rukminim1.flixcart.com/image/312/312/l0tweq80/mobile/w/r/t/-original-imagcgtgwg5taegn.jpeg?q=70,4.4,https://www.flipkart.com/redmi-10-pacific-blue-64-gb/p/itm0f2a6a2112b75?pid=MOBGC9GYCHQZK9GW&lid=LSTMOBGC9GYCHQZK9GW1PUFXX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBGC9GYCHQZK9GW.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
5,"ASUS ROG Phone 3 (Black, 128 GB)","₹49,999",https://rukminim1.flixcart.com/image/312/312/kcuug7k0/mobile/g/h/e/asus-rog-phone-3-zs661ks-6a006in-original-imaftwc6nmyuyekd.jpeg?q=70,4.4,https://www.flipkart.com/asus-rog-phone-3-black-128-gb/p/itmf8623d755871d?pid=MOBFUXPBV3TFMPAH&lid=LSTMOBFUXPBV3TFMPAHAGA7SX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBFUXPBV3TFMPAH.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
6,"realme Narzo 50 (Speed Blue, 128 GB)","₹14,499",https://rukminim1.flixcart.com/image/312/312/l0bbonk0/shopsy-mobile/p/k/x/-original-imagc4qj5ejywxnv.jpeg?q=70,4.3,https://www.flipkart.com/realme-narzo-50-speed-blue-128-gb/p/itm9d47ef5d10145?pid=MOBGC2E7KHZD6MDD&lid=LSTMOBGC2E7KHZD6MDDUKG4CJ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBGC2E7KHZD6MDD.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
7,IAIR D41,"₹1,075",https://rukminim1.flixcart.com/image/312/312/l0zm64w0/mobile/c/5/w/d41-d41aqua-green-iair-original-imagcnz3m4ugxdfz.jpeg?q=70,4.9,https://www.flipkart.com/iair-d41/p/itm0b7495cebc66e?pid=MOBGCNZ4MZR9AADP&lid=LSTMOBGCNZ4MZR9AADPR55JN1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=en_VcJa8Dh%2B0J%2Bc8OHsHMq81pB0V%2FSUyW8huz0i8ve4DllgxscrjNIjWFVupYWrwAwcudg9FaDonO8H3siAxoUqPw%3D%3D&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
8,"Infinix HOT 12 Play (Racing Black, 64 GB)","₹8,699",https://rukminim1.flixcart.com/image/312/312/l3dcl8w0/mobile/y/f/b/-original-imageg2qrjbhfqyb.jpeg?q=70,4.3,https://www.flipkart.com/infinix-hot-12-play-racing-black-64-gb/p/itmd9c1091d0a662?pid=MOBGE2KYNTFHTXUW&lid=LSTMOBGE2KYNTFHTXUWDFJ0XM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBGE2KYNTFHTXUW.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
9,"POCO C31 (Royal Blue, 64 GB)","₹7,999",https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/mobile/p/e/4/c31-mzb0a0jin-poco-original-imag7bzqxgdhgf2n.jpeg?q=70,4.4,https://www.flipkart.com/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPR5ICMK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBG73E7GKQK4KZP.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
